DateTime,Main Status,Sub Status,Full Status,Status Text,T,Service,FaultMsg,Value0
13-06-14 13:11,8,0,8:00,Maintenance,6,TRUE,FALSE,5.5
13-06-14 13:30,1,3,1:03,Turbine stopped : Scada System (ENERCON),1,FALSE,FALSE,6.3
13-06-14 13:46,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.8
13-06-14 13:49,0,2,0:02,Turbine operational,1,FALSE,FALSE,6.7
13-06-14 13:49,0,1,0:01,Turbine starting,1,FALSE,FALSE,5
13-06-14 13:51,0,0,0:00,Turbine in operation,1,FALSE,FALSE,4.9
14-06-14 20:30,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,0.5
14-06-14 20:45,21,2,21:02,Cable twisted : Right (2-3 turns),1,FALSE,FALSE,1.6
14-06-14 21:24,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,3.1
14-06-14 21:26,0,2,0:02,Turbine operational,1,FALSE,FALSE,4
14-06-14 21:26,0,1,0:01,Turbine starting,1,FALSE,FALSE,3.8
14-06-14 21:28,0,0,0:00,Turbine in operation,1,FALSE,FALSE,3.8
15-06-14 23:40,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,0.7
16-06-14 1:05,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.4
16-06-14 1:05,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.4
16-06-14 1:08,0,0,0:00,Turbine in operation,1,FALSE,FALSE,1.6
21-06-14 1:28,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.1
21-06-14 3:00,0,2,0:02,Turbine operational,1,FALSE,FALSE,0.5
21-06-14 3:00,0,1,0:01,Turbine starting,1,FALSE,FALSE,0.9
21-06-14 3:04,0,0,0:00,Turbine in operation,1,FALSE,FALSE,1.3
21-06-14 14:11,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,0.7
21-06-14 14:58,0,2,0:02,Turbine operational,1,FALSE,FALSE,4.3
21-06-14 14:58,0,1,0:01,Turbine starting,1,FALSE,FALSE,4.3
21-06-14 15:00,0,0,0:00,Turbine in operation,1,FALSE,FALSE,5.6
22-06-14 0:47,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.1
22-06-14 2:20,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.1
22-06-14 2:20,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.9
22-06-14 2:23,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2.6
23-06-14 1:56,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
